"produto","cidade","pais","data_inteira","und_estoque","esp_estoque","Excesso"
"Alice Mutton","Albuquerque","USA","1996-08-30","0.00","0.00",True
"Alice Mutton","Albuquerque","USA","1996-11-05","0.00","0.00",True
"Alice Mutton","Albuquerque","USA","1997-06-10","0.00","0.00",True
"Alice Mutton","Albuquerque","USA","1998-01-26","0.00","0.00",True
"Alice Mutton","Anchorage","USA","1996-10-25","0.00","0.00",True
"Alice Mutton","Boise","USA","1997-07-22","0.00","0.00",True
"Alice Mutton","Boise","USA","1997-10-22","0.00","0.00",True
"Alice Mutton","Boise","USA","1998-05-01","0.00","0.00",True
"Alice Mutton","Charleroi","Belgium","1996-09-10","0.00","0.00",True
"Alice Mutton","Elgin","USA","1997-01-15","0.00","0.00",True
"Alice Mutton","Frankfurt a.M.","Germany","1996-08-13","0.00","0.00",True
"Alice Mutton","Graz","Austria","1997-01-30","0.00","0.00",True
"Alice Mutton","Graz","Austria","1997-10-09","0.00","0.00",True
"Alice Mutton","Graz","Austria","1997-12-11","0.00","0.00",True
"Alice Mutton","Graz","Austria","1997-12-24","0.00","0.00",True
"Alice Mutton","London","UK","1997-05-01","0.00","0.00",True
"Alice Mutton","Luleå","Sweden","1997-02-12","0.00","0.00",True
"Alice Mutton","Madrid","Spain","1997-12-29","0.00","0.00",True
"Alice Mutton","Marseille","France","1998-02-05","0.00","0.00",True
"Alice Mutton","México D.F.","Mexico","1996-10-02","0.00","0.00",True
"Alice Mutton","México D.F.","Mexico","1997-06-19","0.00","0.00",True
"Alice Mutton","México D.F.","Mexico","1998-02-27","0.00","0.00",True
"Alice Mutton","Montréal","Canada","1996-10-28","0.00","0.00",True
"Alice Mutton","Nantes","France","1998-02-16","0.00","0.00",True
"Alice Mutton","Reggio Emilia","Italy","1997-11-03","0.00","0.00",True
"Alice Mutton","Rio de Janeiro","Brazil","1998-03-03","0.00","0.00",True
"Alice Mutton","Rio de Janeiro","Brazil","1998-04-29","0.00","0.00",True
"Alice Mutton","Salzburg","Austria","1997-05-08","0.00","0.00",True
"Alice Mutton","Salzburg","Austria","1997-09-30","0.00","0.00",True
"Alice Mutton","Seattle","USA","1997-10-08","0.00","0.00",True
"Alice Mutton","Seattle","USA","1998-01-30","0.00","0.00",True
