"produto","cidade_produto","pais_produto","data_inteira"
"Mozzarella di Giovanni","Reims","France","1996-07-04"
"Queso Cabrales","Reims","France","1996-07-04"
"Singaporean Hokkien Fried Mee","Reims","France","1996-07-04"
"Manjimup Dried Apples","Münster","Germany","1996-07-05"
"Tofu","Münster","Germany","1996-07-05"
"Gustaf's Knäckebröd","Lyon","France","1996-07-08"
"Jack's New England Clam Chowder","Rio de Janeiro","Brazil","1996-07-08"
"Louisiana Fiery Hot Pepper Sauce","Lyon","France","1996-07-08"
"Louisiana Fiery Hot Pepper Sauce","Rio de Janeiro","Brazil","1996-07-08"
"Manjimup Dried Apples","Rio de Janeiro","Brazil","1996-07-08"
"Ravioli Angelo","Lyon","France","1996-07-08"
"Camembert Pierrot","Charleroi","Belgium","1996-07-09"
"Geitost","Charleroi","Belgium","1996-07-09"
"Sir Rodney's Marmalade","Charleroi","Belgium","1996-07-09"
"Chartreuse verte","Rio de Janeiro","Brazil","1996-07-10"
"Gorgonzola Telino","Rio de Janeiro","Brazil","1996-07-10"
"Maxilaku","Rio de Janeiro","Brazil","1996-07-10"
"Guaraná Fantástica","Bern","Switzerland","1996-07-11"
"Longlife Tofu","Bern","Switzerland","1996-07-11"
"Pâté chinois","Bern","Switzerland","1996-07-11"
"Chang","Genève","Switzerland","1996-07-12"
"Inlagd Sill","Genève","Switzerland","1996-07-12"
"Pavlova","Genève","Switzerland","1996-07-12"
"Raclette Courdavault","Genève","Switzerland","1996-07-12"
"Original Frankfurter grüne Soße","Resende","Brazil","1996-07-15"
"Perth Pasties","Resende","Brazil","1996-07-15"
"Chartreuse verte","San Cristóbal","Venezuela","1996-07-16"
"Original Frankfurter grüne Soße","San Cristóbal","Venezuela","1996-07-16"
"Schoggi Schokolade","San Cristóbal","Venezuela","1996-07-16"
"Chang","Graz","Austria","1996-07-17"
"Chef Anton's Gumbo Mix","Graz","Austria","1996-07-17"
"Mascarpone Fabioli","Graz","Austria","1996-07-17"
"Gravad lax","México D.F.","Mexico","1996-07-18"
"Sir Rodney's Scones","México D.F.","Mexico","1996-07-18"
"Jack's New England Clam Chowder","Köln","Germany","1996-07-19"
"Outback Lager","Köln","Germany","1996-07-19"
"Ravioli Angelo","Köln","Germany","1996-07-19"
"Sir Rodney's Scones","Rio de Janeiro","Brazil","1996-07-19"
"Steeleye Stout","Rio de Janeiro","Brazil","1996-07-19"
"Tarte au sucre","Köln","Germany","1996-07-19"
"Chef Anton's Gumbo Mix","Albuquerque","USA","1996-07-22"
"Gnocchi di nonna Alice","Albuquerque","USA","1996-07-22"
"Uncle Bob's Organic Dried Pears","Albuquerque","USA","1996-07-22"
"Guaraná Fantástica","Graz","Austria","1996-07-23"
"Longlife Tofu","Graz","Austria","1996-07-23"
"Nord-Ost Matjeshering","Graz","Austria","1996-07-23"
"Pavlova","Graz","Austria","1996-07-23"
"Chang","Bräcke","Sweden","1996-07-24"
"Jack's New England Clam Chowder","Bräcke","Sweden","1996-07-24"
"Alice Mutton","Strasbourg","France","1996-07-25"
"Outback Lager","Strasbourg","France","1996-07-25"
"Queso Manchego La Pastora","Oulu","Finland","1996-07-26"
"Boston Crab Meat","München","Germany","1996-07-29"
"Lakkalikööri","München","Germany","1996-07-29"
"Raclette Courdavault","München","Germany","1996-07-29"
"Mozzarella di Giovanni","Caracas","Venezuela","1996-07-30"
"Thüringer Rostbratwurst","Caracas","Venezuela","1996-07-30"
"Geitost","Seattle","USA","1996-07-31"
"Mozzarella di Giovanni","Seattle","USA","1996-07-31"
"Geitost","Lander","USA","1996-08-01"
"Inlagd Sill","Oulu","Finland","1996-08-01"
"Ipoh Coffee","Oulu","Finland","1996-08-01"
"Gorgonzola Telino","Albuquerque","USA","1996-08-02"
"Mozzarella di Giovanni","Albuquerque","USA","1996-08-02"
"Sir Rodney's Marmalade","Albuquerque","USA","1996-08-02"
"Boston Crab Meat","Cunewalde","Germany","1996-08-05"
"Geitost","Cunewalde","Germany","1996-08-05"
"Gorgonzola Telino","Cunewalde","Germany","1996-08-05"
"Ikura","Cunewalde","Germany","1996-08-05"
"Lakkalikööri","Cunewalde","Germany","1996-08-05"
"Flotemysost","Reims","France","1996-08-06"
"Mozzarella di Giovanni","Reims","France","1996-08-06"
"Guaraná Fantástica","Bergamo","Italy","1996-08-07"
"Raclette Courdavault","Bergamo","Italy","1996-08-07"
"Ikura","México D.F.","Mexico","1996-08-08"
"Konbu","México D.F.","Mexico","1996-08-08"
"Rössle Sauerkraut","Leipzig","Germany","1996-08-09"
"Tarte au sucre","Leipzig","Germany","1996-08-09"
"Gula Malacca","Luleå","Sweden","1996-08-12"
"Raclette Courdavault","Luleå","Sweden","1996-08-12"
"Röd Kaviar","Luleå","Sweden","1996-08-12"
"Vegie-spread","Luleå","Sweden","1996-08-12"
"Alice Mutton","Frankfurt a.M.","Germany","1996-08-13"
"Guaraná Fantástica","Luleå","Sweden","1996-08-14"
"Guaraná Fantástica","Madrid","Spain","1996-08-14"
"Pâté chinois","Luleå","Sweden","1996-08-14"
