"nome_produto","qtd_vendida","mes","pais","regiao","cidade","Excesso"
"Alice Mutton","45",1,"Austria",NULL,"Graz",True
"Alice Mutton","50",1,"Canada","BC","Tsawassen",True
"Alice Mutton","6",1,"USA","NM","Albuquerque",True
"Alice Mutton","2",1,"USA","OR","Elgin",True
"Alice Mutton","42",1,"USA","WA","Seattle",True
"Alice Mutton","16",2,"France",NULL,"Marseille",True
"Alice Mutton","15",2,"France",NULL,"Nantes",True
"Alice Mutton","10",2,"Mexico",NULL,"México D.F.",True
"Alice Mutton","12",2,"Spain",NULL,"Sevilla",True
"Alice Mutton","10",2,"Sweden",NULL,"Luleå",True
"Alice Mutton","15",3,"Brazil","RJ","Rio de Janeiro",True
"Alice Mutton","6",3,"Canada","BC","Tsawassen",True
"Alice Mutton","6",3,"France",NULL,"Versailles",True
"Alice Mutton","12",4,"Brazil","RJ","Rio de Janeiro",True
"Alice Mutton","40",5,"Austria",NULL,"Salzburg",True
"Alice Mutton","8",5,"Spain",NULL,"Sevilla",True
"Alice Mutton","25",5,"UK",NULL,"London",True
"Alice Mutton","77",5,"USA","ID","Boise",True
"Alice Mutton","18",6,"Mexico",NULL,"México D.F.",True
"Alice Mutton","16",6,"USA","NM","Albuquerque",True
"Alice Mutton","30",7,"France",NULL,"Strasbourg",True
"Alice Mutton","100",7,"USA","ID","Boise",True
"Alice Mutton","15",8,"Germany",NULL,"Frankfurt a.M.",True
"Alice Mutton","15",8,"USA","NM","Albuquerque",True
"Alice Mutton","30",9,"Austria",NULL,"Salzburg",True
"Alice Mutton","40",9,"Belgium",NULL,"Charleroi",True
"Alice Mutton","8",10,"Austria",NULL,"Graz",True
"Alice Mutton","70",10,"Canada","Québec","Montréal",True
"Alice Mutton","8",10,"Mexico",NULL,"México D.F.",True
"Alice Mutton","20",10,"USA","AK","Anchorage",True
"Alice Mutton","27",10,"USA","ID","Boise",True
"Alice Mutton","20",10,"USA","WA","Seattle",True
"Alice Mutton","20",11,"Italy",NULL,"Reggio Emilia",True
"Alice Mutton","36",11,"USA","NM","Albuquerque",True
"Alice Mutton","68",12,"Austria",NULL,"Graz",True
"Alice Mutton","40",12,"Spain",NULL,"Madrid",True
"Aniseed Syrup","49",1,"Germany",NULL,"Brandenburg",False
"Aniseed Syrup","30",1,"Sweden",NULL,"Luleå",False
"Aniseed Syrup","50",1,"Venezuela","Nueva Esparta","I. de Margarita",False
"Aniseed Syrup","20",3,"Venezuela","Nueva Esparta","I. de Margarita",False
"Aniseed Syrup","25",4,"Austria",NULL,"Graz",False
"Aniseed Syrup","60",5,"Germany",NULL,"Cunewalde",False
"Aniseed Syrup","4",5,"USA","NM","Albuquerque",False
"Aniseed Syrup","14",7,"Denmark",NULL,"Århus",False
"Aniseed Syrup","30",8,"UK",NULL,"London",False
"Aniseed Syrup","6",10,"Germany",NULL,"Berlin",False
"Aniseed Syrup","20",11,"Canada","BC","Tsawassen",False
"Aniseed Syrup","20",12,"Austria",NULL,"Graz",False
"Boston Crab Meat","2",1,"Brazil","SP","Sao Paulo",True
"Boston Crab Meat","50",1,"Canada","BC","Tsawassen",True
"Boston Crab Meat","60",1,"Germany",NULL,"Brandenburg",True
"Boston Crab Meat","25",1,"Sweden",NULL,"Luleå",True
"Boston Crab Meat","30",1,"Venezuela","Nueva Esparta","I. de Margarita",True
"Boston Crab Meat","20",2,"Argentina",NULL,"Buenos Aires",True
"Boston Crab Meat","91",2,"Austria",NULL,"Graz",True
"Boston Crab Meat","12",2,"Finland",NULL,"Helsinki",True
"Boston Crab Meat","10",3,"Belgium",NULL,"Bruxelles",True
"Boston Crab Meat","20",3,"Denmark",NULL,"Århus",True
"Boston Crab Meat","21",3,"Mexico",NULL,"México D.F.",True
"Boston Crab Meat","10",3,"UK",NULL,"London",True
"Boston Crab Meat","10",3,"USA","WA","Walla Walla",True
"Boston Crab Meat","20",3,"Venezuela","Nueva Esparta","I. de Margarita",True
"Boston Crab Meat","5",4,"Belgium",NULL,"Charleroi",True
"Boston Crab Meat","25",4,"Germany",NULL,"Frankfurt a.M.",True
"Boston Crab Meat","40",4,"Ireland","Co. Cork","Cork",True
"Boston Crab Meat","10",4,"USA","MT","Butte",True
"Boston Crab Meat","5",4,"Venezuela","Táchira","San Cristóbal",True
"Boston Crab Meat","15",5,"France",NULL,"Marseille",True
"Boston Crab Meat","10",5,"Germany",NULL,"Frankfurt a.M.",True
"Boston Crab Meat","10",5,"Mexico",NULL,"México D.F.",True
"Boston Crab Meat","50",6,"Sweden",NULL,"Luleå",True
"Boston Crab Meat","2",6,"USA","WA","Kirkland",True
"Boston Crab Meat","50",7,"Germany",NULL,"München",True
"Boston Crab Meat","42",7,"USA","ID","Boise",True
"Boston Crab Meat","100",8,"Germany",NULL,"Cunewalde",True
"Boston Crab Meat","60",8,"Venezuela","Táchira","San Cristóbal",True
"Boston Crab Meat","24",9,"Brazil","SP","Sao Paulo",True
"Boston Crab Meat","30",9,"France",NULL,"Marseille",True
"Boston Crab Meat","70",9,"Germany",NULL,"Cunewalde",True
"Boston Crab Meat","20",9,"Germany",NULL,"Köln",True
"Boston Crab Meat","10",9,"Germany",NULL,"Stuttgart",True
"Boston Crab Meat","40",9,"Spain",NULL,"Sevilla",True
"Boston Crab Meat","10",11,"Brazil","SP","Sao Paulo",True
"Boston Crab Meat","50",11,"Denmark",NULL,"Århus",True
"Boston Crab Meat","3",11,"Italy",NULL,"Bergamo",True
"Boston Crab Meat","40",11,"USA","ID","Boise",True
"Boston Crab Meat","1",12,"Italy",NULL,"Torino",True
"Camembert Pierrot","60",1,"Austria",NULL,"Graz",True
"Camembert Pierrot","30",1,"Brazil","SP","Sao Paulo",True
"Camembert Pierrot","60",1,"Switzerland",NULL,"Genève",True
"Camembert Pierrot","21",1,"UK","Isle of Wight","Cowes",True
"Camembert Pierrot","45",1,"USA","ID","Boise",True
"Camembert Pierrot","100",2,"Austria",NULL,"Graz",True
"Camembert Pierrot","40",3,"Brazil","RJ","Rio de Janeiro",True
"Camembert Pierrot","25",3,"Canada","BC","Tsawassen",True
"Camembert Pierrot","49",3,"Germany",NULL,"Cunewalde",True
"Camembert Pierrot","22",3,"Portugal",NULL,"Lisboa",True
"Camembert Pierrot","10",3,"Spain",NULL,"Madrid",True
"Camembert Pierrot","24",3,"Venezuela","Nueva Esparta","I. de Margarita",True
"Camembert Pierrot","35",4,"Brazil","RJ","Rio de Janeiro",True
"Camembert Pierrot","12",4,"Brazil","SP","Sao Paulo",True
"Camembert Pierrot","84",4,"Germany",NULL,"Cunewalde",True
"Camembert Pierrot","21",4,"Germany",NULL,"Mannheim",True
"Camembert Pierrot","36",4,"Germany",NULL,"München",True
"Camembert Pierrot","4",4,"Italy",NULL,"Torino",True
"Camembert Pierrot","4",4,"Mexico",NULL,"México D.F.",True
"Camembert Pierrot","9",4,"Spain",NULL,"Sevilla",True
"Camembert Pierrot","10",4,"Switzerland",NULL,"Bern",True
"Camembert Pierrot","50",4,"UK",NULL,"London",True
"Camembert Pierrot","15",4,"USA","OR","Eugene",True
"Camembert Pierrot","35",5,"Germany",NULL,"Frankfurt a.M.",True
"Camembert Pierrot","2",5,"USA","NM","Albuquerque",True
"Camembert Pierrot","24",6,"Finland",NULL,"Oulu",True
"Camembert Pierrot","40",7,"Belgium",NULL,"Charleroi",True
"Camembert Pierrot","70",7,"Canada","Québec","Montréal",True
"Camembert Pierrot","15",7,"Poland",NULL,"Warszawa",True
"Camembert Pierrot","40",7,"USA","ID","Boise",True
"Camembert Pierrot","20",8,"Germany",NULL,"Frankfurt a.M.",True
"Camembert Pierrot","10",8,"Mexico",NULL,"México D.F.",True
"Camembert Pierrot","20",8,"Sweden",NULL,"Luleå",True
"Camembert Pierrot","21",8,"USA","NM","Albuquerque",True
"Camembert Pierrot","35",8,"Venezuela","Lara","Barquisimeto",True
"Camembert Pierrot","55",9,"Germany",NULL,"Cunewalde",True
